Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|Q9HCE5|MET14_HUMAN	Q9HCE5	MET14_HUMAN	METTL14	456	false	false	Homo sapiens	N6-adenosine-methyltransferase non-catalytic subunit	1:Experimental evidence at protein level	4.82	0.9838	0.9990	0.00000000000000	1	1	1	4	4	4	     0	     0	     0			
sp|Q9HCN4|GPN1_HUMAN	Q9HCN4	GPN1_HUMAN	GPN1	374	false	false	Homo sapiens	GPN-loop GTPase 1	1:Experimental evidence at protein level	4.28	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0	N-term(42.0106)		
sp|Q9HD34|LYRM4_HUMAN	Q9HD34	LYRM4_HUMAN	LYRM4	91	false	false	Homo sapiens	LYR motif-containing protein 4	1:Experimental evidence at protein level	13.19	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0			
sp|Q9NPA3|M1IP1_HUMAN	Q9NPA3	M1IP1_HUMAN	MID1IP1	183	false	false	Homo sapiens	Mid1-interacting protein 1	1:Experimental evidence at protein level	10.38	0.9838	0.9990	0.00000000000000	1	1	1	4	4	4	     0	     0	     0			
sp|Q9NPI1|BRD7_HUMAN	Q9NPI1	BRD7_HUMAN	BRD7	651	false	false	Homo sapiens	Bromodomain-containing protein 7	1:Experimental evidence at protein level	3.38	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9NPL8|TIDC1_HUMAN	Q9NPL8	TIDC1_HUMAN	TIMMDC1	285	false	false	Homo sapiens	Complex I assembly factor TIMMDC1, mitochondrial	1:Experimental evidence at protein level	5.26	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9NQE9|HINT3_HUMAN	Q9NQE9	HINT3_HUMAN	HINT3	182	false	false	Homo sapiens	Adenosine 5'-monophosphoramidase HINT3	1:Experimental evidence at protein level	15.93	0.9838	0.9990	0.00000000000000	1	1	1	5	5	5	     0	     0	     0	24C(57.0214), 8C(57.0214)		
sp|Q9NR77|PXMP2_HUMAN	Q9NR77	PXMP2_HUMAN	PXMP2	195	false	false	Homo sapiens	Peroxisomal membrane protein 2	1:Experimental evidence at protein level	8.21	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9NRP0|OSTC_HUMAN	Q9NRP0	OSTC_HUMAN	OSTC	149	false	false	Homo sapiens	Oligosaccharyltransferase complex subunit OSTC	1:Experimental evidence at protein level	8.05	0.9838	0.9990	0.00000000000000	1	1	1	6	6	6	     0	     0	     0	8C(57.0214)		
sp|Q9NRR3|C42S2_HUMAN	Q9NRR3	C42S2_HUMAN	CDC42SE2	84	false	false	Homo sapiens	CDC42 small effector protein 2	1:Experimental evidence at protein level	22.62	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0			
sp|Q9NS87|KIF15_HUMAN	Q9NS87	KIF15_HUMAN	KIF15	1388	false	false	Homo sapiens	Kinesin-like protein KIF15	1:Experimental evidence at protein level	1.37	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9NV96|CC50A_HUMAN	Q9NV96	CC50A_HUMAN	TMEM30A	361	false	false	Homo sapiens	Cell cycle control protein 50A	1:Experimental evidence at protein level	4.71	0.9838	0.9990	0.00000000000000	1	1	1	5	5	5	     0	     0	     0	15C(57.0214)		
sp|Q9NVA1|UQCC1_HUMAN	Q9NVA1	UQCC1_HUMAN	UQCC1	299	false	false	Homo sapiens	Ubiquinol-cytochrome c reductase complex assembly factor 1	1:Experimental evidence at protein level	3.01	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9NVR2|INT10_HUMAN	Q9NVR2	INT10_HUMAN	INTS10	710	false	false	Homo sapiens	Integrator complex subunit 10	1:Experimental evidence at protein level	2.39	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	4C(57.0214)		
sp|Q9NVV0|TM38B_HUMAN	Q9NVV0	TM38B_HUMAN	TMEM38B	291	false	false	Homo sapiens	Trimeric intracellular cation channel type B	1:Experimental evidence at protein level	4.81	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0	N-term(42.0106)		
sp|Q9NVV4|PAPD1_HUMAN	Q9NVV4	PAPD1_HUMAN	MTPAP	582	false	false	Homo sapiens	Poly(A) RNA polymerase, mitochondrial	1:Experimental evidence at protein level	2.06	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	1C(57.0214), 8C(57.0214)		
sp|Q9NVX0|HAUS2_HUMAN	Q9NVX0	HAUS2_HUMAN	HAUS2	235	false	false	Homo sapiens	HAUS augmin-like complex subunit 2	1:Experimental evidence at protein level	7.23	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9NWU1|OXSM_HUMAN	Q9NWU1	OXSM_HUMAN	OXSM	459	false	false	Homo sapiens	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial	1:Experimental evidence at protein level	3.27	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9NWV8|BABA1_HUMAN	Q9NWV8	BABA1_HUMAN	BABAM1	329	false	false	Homo sapiens	BRISC and BRCA1-A complex member 1	1:Experimental evidence at protein level	6.99	0.9838	0.9990	0.00000000000000	1	1	1	10	10	10	     0	     0	     0			
sp|Q9NWW5|CLN6_HUMAN	Q9NWW5	CLN6_HUMAN	CLN6	311	false	false	Homo sapiens	Ceroid-lipofuscinosis neuronal protein 6	1:Experimental evidence at protein level	6.75	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0			
sp|Q9NX70|MED29_HUMAN	Q9NX70	MED29_HUMAN	MED29	200	false	false	Homo sapiens	Mediator of RNA polymerase II transcription subunit 29	1:Experimental evidence at protein level	8.50	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9NX74|DUS2L_HUMAN	Q9NX74	DUS2L_HUMAN	DUS2	493	false	false	Homo sapiens	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like	1:Experimental evidence at protein level	3.45	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0			
sp|Q9NX76|CKLF6_HUMAN	Q9NX76	CKLF6_HUMAN	CMTM6	183	false	false	Homo sapiens	CKLF-like MARVEL transmembrane domain-containing protein 6	1:Experimental evidence at protein level	10.38	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0	N-term(42.0106)		
sp|Q9NZN8|CNOT2_HUMAN	Q9NZN8	CNOT2_HUMAN	CNOT2	540	false	false	Homo sapiens	CCR4-NOT transcription complex subunit 2	1:Experimental evidence at protein level	6.11	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9P0K7|RAI14_HUMAN	Q9P0K7	RAI14_HUMAN	RAI14	980	false	false	Homo sapiens	Ankycorbin	1:Experimental evidence at protein level	1.53	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9P2D0|IBTK_HUMAN	Q9P2D0	IBTK_HUMAN	IBTK	1353	false	false	Homo sapiens	Inhibitor of Bruton tyrosine kinase	1:Experimental evidence at protein level	1.33	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9UBB6|NCDN_HUMAN	Q9UBB6	NCDN_HUMAN	NCDN	729	false	false	Homo sapiens	Neurochondrin	1:Experimental evidence at protein level	2.47	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	9C(57.0214)		
sp|Q9UDX5|MTFP1_HUMAN	Q9UDX5	MTFP1_HUMAN	MTFP1	166	false	false	Homo sapiens	Mitochondrial fission process protein 1	1:Experimental evidence at protein level	7.83	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0			
sp|Q9UHC7|MKRN1_HUMAN	Q9UHC7	MKRN1_HUMAN	MKRN1	482	false	false	Homo sapiens	E3 ubiquitin-protein ligase makorin-1	1:Experimental evidence at protein level	3.32	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	5C(57.0214)		
sp|Q9UHW5|GPN3_HUMAN	Q9UHW5	GPN3_HUMAN	GPN3	284	false	false	Homo sapiens	GPN-loop GTPase 3	1:Experimental evidence at protein level	5.28	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9UI14|PRAF1_HUMAN	Q9UI14	PRAF1_HUMAN	RABAC1	185	false	false	Homo sapiens	Prenylated Rab acceptor protein 1	1:Experimental evidence at protein level	8.11	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9UIL1|SCOC_HUMAN	Q9UIL1	SCOC_HUMAN	SCOC	159	false	false	Homo sapiens	Short coiled-coil protein	1:Experimental evidence at protein level	16.35	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9UJ41|RABX5_HUMAN	Q9UJ41	RABX5_HUMAN	RABGEF1	491	false	false	Homo sapiens	Rab5 GDP/GTP exchange factor	1:Experimental evidence at protein level	3.05	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9UJC3|HOOK1_HUMAN	Q9UJC3	HOOK1_HUMAN	HOOK1	728	false	false	Homo sapiens	Protein Hook homolog 1	1:Experimental evidence at protein level	3.57	0.9838	0.9990	0.00000000000000	2	2	2	4	4	4	     0	     0	     0	14C(57.0214), 8C(57.0214)		
sp|Q9UJY4|GGA2_HUMAN	Q9UJY4	GGA2_HUMAN	GGA2	613	false	false	Homo sapiens	ADP-ribosylation factor-binding protein GGA2	1:Experimental evidence at protein level	5.06	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	N-term(42.0106)		
sp|Q9UKD1|GMEB2_HUMAN	Q9UKD1	GMEB2_HUMAN	GMEB2	530	false	false	Homo sapiens	Glucocorticoid modulatory element-binding protein 2	1:Experimental evidence at protein level	3.58	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9UKY1|ZHX1_HUMAN	Q9UKY1	ZHX1_HUMAN	ZHX1	873	false	false	Homo sapiens	Zinc fingers and homeoboxes protein 1	1:Experimental evidence at protein level	2.41	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9UL45|BL1S6_HUMAN	Q9UL45	BL1S6_HUMAN	BLOC1S6	172	false	false	Homo sapiens	Biogenesis of lysosome-related organelles complex 1 subunit 6	1:Experimental evidence at protein level	13.37	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9ULV3|CIZ1_HUMAN	Q9ULV3	CIZ1_HUMAN	CIZ1	898	false	false	Homo sapiens	Cip1-interacting zinc finger protein	1:Experimental evidence at protein level	1.89	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0			
sp|Q9ULW0|TPX2_HUMAN	Q9ULW0	TPX2_HUMAN	TPX2	747	false	false	Homo sapiens	Targeting protein for Xklp2	1:Experimental evidence at protein level	3.21	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	13C(57.0214)		
sp|Q9UNK0|STX8_HUMAN	Q9UNK0	STX8_HUMAN	STX8	236	false	false	Homo sapiens	Syntaxin-8	1:Experimental evidence at protein level	7.63	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9UPM8|AP4E1_HUMAN	Q9UPM8	AP4E1_HUMAN	AP4E1	1137	false	false	Homo sapiens	AP-4 complex subunit epsilon-1	1:Experimental evidence at protein level	1.85	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9UQ90|SPG7_HUMAN	Q9UQ90	SPG7_HUMAN	SPG7	795	false	false	Homo sapiens	Paraplegin	1:Experimental evidence at protein level	3.65	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9UQR0|SCML2_HUMAN	Q9UQR0	SCML2_HUMAN	SCML2	700	false	false	Homo sapiens	Sex comb on midleg-like protein 2	1:Experimental evidence at protein level	2.14	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0	13C(57.0214)		
sp|Q9Y241|HIG1A_HUMAN	Q9Y241	HIG1A_HUMAN	HIGD1A	93	false	false	Homo sapiens	HIG1 domain family member 1A, mitochondrial	1:Experimental evidence at protein level	19.35	0.9838	0.9990	0.00000000000000	1	1	1	4	4	4	     0	     0	     0	N-term(42.0106)		
sp|Q9Y2X9|ZN281_HUMAN	Q9Y2X9	ZN281_HUMAN	ZNF281	895	false	false	Homo sapiens	Zinc finger protein 281	1:Experimental evidence at protein level	1.79	0.9838	0.9990	0.00000000000000	1	1	1	6	6	6	     0	     0	     0			
sp|Q9Y3C7|MED31_HUMAN	Q9Y3C7	MED31_HUMAN	MED31	131	false	false	Homo sapiens	Mediator of RNA polymerase II transcription subunit 31	1:Experimental evidence at protein level	12.98	0.9838	0.9990	0.00000000000000	1	1	1	5	5	5	     0	     0	     0			
sp|Q9Y448|SKAP_HUMAN	Q9Y448	SKAP_HUMAN	KNSTRN	316	false	false	Homo sapiens	Small kinetochore-associated protein	1:Experimental evidence at protein level	6.33	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0	8C(57.0214)		
sp|Q9Y483|MTF2_HUMAN	Q9Y483	MTF2_HUMAN	MTF2	593	false	false	Homo sapiens	Metal-response element-binding transcription factor 2	1:Experimental evidence at protein level	2.87	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0	13C(57.0214)		
sp|Q9Y530|OARD1_HUMAN	Q9Y530	OARD1_HUMAN	OARD1	152	false	false	Homo sapiens	ADP-ribose glycohydrolase OARD1	1:Experimental evidence at protein level	6.58	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9Y580|RBM7_HUMAN	Q9Y580	RBM7_HUMAN	RBM7	266	false	false	Homo sapiens	RNA-binding protein 7	1:Experimental evidence at protein level	5.26	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0			
sp|Q9Y584|TIM22_HUMAN	Q9Y584	TIM22_HUMAN	TIMM22	194	false	false	Homo sapiens	Mitochondrial import inner membrane translocase subunit Tim22	1:Experimental evidence at protein level	18.04	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0	N-term(42.0106)		
sp|Q9Y5B0|CTDP1_HUMAN	Q9Y5B0	CTDP1_HUMAN	CTDP1	961	false	false	Homo sapiens	RNA polymerase II subunit A C-terminal domain phosphatase	1:Experimental evidence at protein level	1.66	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	3C(57.0214), 6C(57.0214)		
sp|Q9Y5B8|NDK7_HUMAN	Q9Y5B8	NDK7_HUMAN	NME7	376	false	false	Homo sapiens	Nucleoside diphosphate kinase 7	1:Experimental evidence at protein level	3.72	0.9838	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9Y5J9|TIM8B_HUMAN	Q9Y5J9	TIM8B_HUMAN	TIMM8B	83	false	false	Homo sapiens	Mitochondrial import inner membrane translocase subunit Tim8 B	1:Experimental evidence at protein level	15.66	0.9838	0.9990	0.00000000000000	1	1	1	5	5	5	     0	     0	     0	N-term(42.0106)		
sp|Q9Y5R8|TPPC1_HUMAN	Q9Y5R8	TPPC1_HUMAN	TRAPPC1	145	false	false	Homo sapiens	Trafficking protein particle complex subunit 1	1:Experimental evidence at protein level	11.03	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	4C(57.0214)		
sp|Q9Y5U9|IR3IP_HUMAN	Q9Y5U9	IR3IP_HUMAN	IER3IP1	82	false	false	Homo sapiens	Immediate early response 3-interacting protein 1	1:Experimental evidence at protein level	24.39	0.9838	0.9990	0.00000000000000	1	1	1	9	9	9	     0	     0	     0			
sp|Q9Y5V0|ZN706_HUMAN	Q9Y5V0	ZN706_HUMAN	ZNF706	76	false	false	Homo sapiens	Zinc finger protein 706	1:Experimental evidence at protein level	14.47	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0	10C(57.0214), 7C(57.0214)		
sp|Q9Y672|ALG6_HUMAN	Q9Y672	ALG6_HUMAN	ALG6	507	false	false	Homo sapiens	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase	1:Experimental evidence at protein level	2.56	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0			
sp|Q9Y692|GMEB1_HUMAN	Q9Y692	GMEB1_HUMAN	GMEB1	573	false	false	Homo sapiens	Glucocorticoid modulatory element-binding protein 1	1:Experimental evidence at protein level	2.97	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	13C(57.0214)		
sp|Q9Y6A9|SPCS1_HUMAN	Q9Y6A9	SPCS1_HUMAN	SPCS1	169	false	false	Homo sapiens	Signal peptidase complex subunit 1	1:Experimental evidence at protein level	7.10	0.9838	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0			
sp|Q9Y6D0|SELK_HUMAN	Q9Y6D0	SELK_HUMAN	SELENOK	94	false	false	Homo sapiens	Selenoprotein K	1:Experimental evidence at protein level	12.77	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9Y6I9|TX264_HUMAN	Q9Y6I9	TX264_HUMAN	TEX264	313	false	false	Homo sapiens	Testis-expressed protein 264	1:Experimental evidence at protein level	7.67	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	1C(57.0214)		
sp|Q9Y6M7|S4A7_HUMAN	Q9Y6M7	S4A7_HUMAN	SLC4A7	1214	false	false	Homo sapiens	Sodium bicarbonate cotransporter 3	1:Experimental evidence at protein level	1.98	0.9838	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|O00189|AP4M1_HUMAN	O00189	AP4M1_HUMAN	AP4M1	453	false	false	Homo sapiens	AP-4 complex subunit mu-1	1:Experimental evidence at protein level	3.31	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|O00478|BT3A3_HUMAN	O00478	BT3A3_HUMAN	BTN3A3	584	false	false	Homo sapiens	Butyrophilin subfamily 3 member A3	1:Experimental evidence at protein level	2.05	0.9837	0.9990	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			sp|O00481|BT3A1_HUMAN, sp|P78410|BT3A2_HUMAN
sp|O15091|MRPP3_HUMAN	O15091	MRPP3_HUMAN	PRORP	583	false	false	Homo sapiens	Mitochondrial ribonuclease P catalytic subunit	1:Experimental evidence at protein level	2.92	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|O43808|PM34_HUMAN	O43808	PM34_HUMAN	SLC25A17	307	false	false	Homo sapiens	Peroxisomal membrane protein PMP34	1:Experimental evidence at protein level	5.86	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|O75907|DGAT1_HUMAN	O75907	DGAT1_HUMAN	DGAT1	488	false	false	Homo sapiens	Diacylglycerol O-acyltransferase 1	1:Experimental evidence at protein level	4.30	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|O75976|CBPD_HUMAN	O75976	CBPD_HUMAN	CPD	1380	false	false	Homo sapiens	Carboxypeptidase D	1:Experimental evidence at protein level	3.77	0.9837	0.9990	0.00000000000000	2	2	2	2	2	2	     0	     0	     0			
sp|O94915|FRYL_HUMAN	O94915	FRYL_HUMAN	FRYL	3013	false	false	Homo sapiens	Protein furry homolog-like	1:Experimental evidence at protein level	0.60	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|O95363|SYFM_HUMAN	O95363	SYFM_HUMAN	FARS2	451	false	false	Homo sapiens	Phenylalanine--tRNA ligase, mitochondrial	1:Experimental evidence at protein level	2.44	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|O95563|MPC2_HUMAN	O95563	MPC2_HUMAN	MPC2	127	false	false	Homo sapiens	Mitochondrial pyruvate carrier 2	1:Experimental evidence at protein level	7.87	0.9837	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0			
sp|P04180|LCAT_HUMAN	P04180	LCAT_HUMAN	LCAT	440	false	false	Homo sapiens	Phosphatidylcholine-sterol acyltransferase	1:Experimental evidence at protein level	2.50	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|P15151|PVR_HUMAN	P15151	PVR_HUMAN	PVR	417	false	false	Homo sapiens	Poliovirus receptor	1:Experimental evidence at protein level	2.88	0.9837	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|P17029|ZKSC1_HUMAN	P17029	ZKSC1_HUMAN	ZKSCAN1	563	false	false	Homo sapiens	Zinc finger protein with KRAB and SCAN domains 1	1:Experimental evidence at protein level	3.37	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|P84157|MXRA7_HUMAN	P84157	MXRA7_HUMAN	MXRA7	204	false	false	Homo sapiens	Matrix-remodeling-associated protein 7	1:Experimental evidence at protein level	8.82	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q13444|ADA15_HUMAN	Q13444	ADA15_HUMAN	ADAM15	863	false	false	Homo sapiens	Disintegrin and metalloproteinase domain-containing protein 15	1:Experimental evidence at protein level	1.51	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	4C(57.0214), 9C(57.0214)		
sp|Q16595|FRDA_HUMAN	Q16595	FRDA_HUMAN	FXN	210	false	false	Homo sapiens	Frataxin, mitochondrial	1:Experimental evidence at protein level	5.71	0.9837	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q66K14|TBC9B_HUMAN	Q66K14	TBC9B_HUMAN	TBC1D9B	1250	false	false	Homo sapiens	TBC1 domain family member 9B	1:Experimental evidence at protein level	1.60	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q6NW34|NEPRO_HUMAN	Q6NW34	NEPRO_HUMAN	NEPRO	567	false	false	Homo sapiens	Nucleolus and neural progenitor protein	1:Experimental evidence at protein level	2.47	0.9837	0.9990	0.00000000000000	1	1	1	3	3	3	     0	     0	     0			
sp|Q6PJW8|CNST_HUMAN	Q6PJW8	CNST_HUMAN	CNST	725	false	false	Homo sapiens	Consortin	1:Experimental evidence at protein level	1.93	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	9C(57.0214)		
sp|Q6UWP7|LCLT1_HUMAN	Q6UWP7	LCLT1_HUMAN	LCLAT1	414	false	false	Homo sapiens	Lysocardiolipin acyltransferase 1	1:Experimental evidence at protein level	3.14	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q86TM6|SYVN1_HUMAN	Q86TM6	SYVN1_HUMAN	SYVN1	617	false	false	Homo sapiens	E3 ubiquitin-protein ligase synoviolin	1:Experimental evidence at protein level	1.46	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q86YN1|DOPP1_HUMAN	Q86YN1	DOPP1_HUMAN	DOLPP1	238	false	false	Homo sapiens	Dolichyldiphosphatase 1	2:Experimental evidence at transcript level	5.04	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	2C(57.0214)		
sp|Q8IUH3|RBM45_HUMAN	Q8IUH3	RBM45_HUMAN	RBM45	476	false	false	Homo sapiens	RNA-binding protein 45	1:Experimental evidence at protein level	2.73	0.9837	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0	11C(57.0214)		
sp|Q8NE01|CNNM3_HUMAN	Q8NE01	CNNM3_HUMAN	CNNM3	707	false	false	Homo sapiens	Metal transporter CNNM3	1:Experimental evidence at protein level	2.55	0.9837	0.9990	0.00000000000000	2	2	2	3	3	3	     0	     0	     0			
sp|Q8WWH5|TRUB1_HUMAN	Q8WWH5	TRUB1_HUMAN	TRUB1	349	false	false	Homo sapiens	Pseudouridylate synthase TRUB1	1:Experimental evidence at protein level	4.58	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q92954|PRG4_HUMAN	Q92954	PRG4_HUMAN	PRG4	1404	false	false	Homo sapiens	Proteoglycan 4	1:Experimental evidence at protein level	1.21	0.9837	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q96B70|LENG9_HUMAN	Q96B70	LENG9_HUMAN	LENG9	501	false	false	Homo sapiens	Leukocyte receptor cluster member 9	2:Experimental evidence at transcript level	2.59	0.9837	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q96MF7|NSE2_HUMAN	Q96MF7	NSE2_HUMAN	NSMCE2	247	false	false	Homo sapiens	E3 SUMO-protein ligase NSE2	1:Experimental evidence at protein level	5.26	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	2C(57.0214)		
sp|Q9C0B5|ZDHC5_HUMAN	Q9C0B5	ZDHC5_HUMAN	ZDHHC5	715	false	false	Homo sapiens	Palmitoyltransferase ZDHHC5	1:Experimental evidence at protein level	2.24	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9H2D1|S2532_HUMAN	Q9H2D1	S2532_HUMAN	SLC25A32	315	false	false	Homo sapiens	Solute carrier family 25 member 32	1:Experimental evidence at protein level	3.81	0.9837	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
sp|Q9H300|PARL_HUMAN	Q9H300	PARL_HUMAN	PARL	379	false	false	Homo sapiens	Presenilin-associated rhomboid-like protein, mitochondrial	1:Experimental evidence at protein level	5.28	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9H6U8|ALG9_HUMAN	Q9H6U8	ALG9_HUMAN	ALG9	611	false	false	Homo sapiens	Alpha-1,2-mannosyltransferase ALG9	1:Experimental evidence at protein level	2.62	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9NP58|ABCB6_HUMAN	Q9NP58	ABCB6_HUMAN	ABCB6	842	false	false	Homo sapiens	ATP-binding cassette sub-family B member 6	1:Experimental evidence at protein level	2.38	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|Q9NSU2|TREX1_HUMAN	Q9NSU2	TREX1_HUMAN	TREX1	314	false	false	Homo sapiens	Three-prime repair exonuclease 1	1:Experimental evidence at protein level	3.50	0.9837	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0	5C(57.0214)		
sp|Q9NVR5|KTU_HUMAN	Q9NVR5	KTU_HUMAN	DNAAF2	837	false	false	Homo sapiens	Protein kintoun	1:Experimental evidence at protein level	1.55	0.9837	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0	4C(57.0214)		
sp|Q9NXN4|GDAP2_HUMAN	Q9NXN4	GDAP2_HUMAN	GDAP2	497	false	false	Homo sapiens	Ganglioside-induced differentiation-associated protein 2	1:Experimental evidence at protein level	4.23	0.9837	0.9990	0.00000000000000	1	1	1	2	2	2	     0	     0	     0			
